Monarch,Begin,End
EGBERT,827,839
AETHELWULF,839,856
AETHELBALD,856,860
AETHELBERT,860,866
AETHELRED I,866,871
ALFRED THE GREAT,871,899
EDWARD,899,924
ATHELSTAN,924,939
EDMUND,939,946
EADRED,946,955
EADWIG,955,959
EDGAR,959,975
EDWARD THE MARTYR,975,978
AETHELRED II THE UNREADY,978,1016
EDMUND II IRONSIDE,1016,1016
CANUTE THE DANE,1016,1035
HAROLD I,1035,1040
HARTHACANUTE,1040,1042
EDWARD THE CONFESSOR,1042,1066
HAROLD II,1066,1066
WILLIAM I THE CONQUEROR,1066,1087
WILLIAM II,1087,1100
HENRY I,1100,1135
STEPHEN,1135,1154
HENRY II,1154,1189
RICHARD I THE LIONHEART,1189,1199
JOHN,1199,1216
HENRY III,1216,1272
EDWARD I,1272,1307
EDWARD II,1307,1327
EDWARD III,1327,1377
RICHARD II,1377,1399
HENRY IV,1399,1413
HENRY V,1413,1422
HENRY VI,1422,1461
EDWARD IV,1461,1483
EDWARD V,1483,1483
RICHARD III,1483,1485
HENRY VII,1485,1509
HENRY VIII,1509,1547
EDWARD VI,1547,1553
MARY I (Bloody Mary),1553,1558
ELIZABETH I,1558,1603
JAMES I and VI of Scotland,1603,1625
CHARLES I,1625,1649
"OLIVER CROMWELL, Lord Protector",1653,1658
"RICHARD CROMWELL, Lord Protector",1658,1659
CHARLES II,1660,1685
JAMES II and VII of Scotland,1685,1688
WILLIAM III,1689,1702
ANNE,1702,1714
GEORGE I,1714,1727
GEORGE II,1727,1760
GEORGE III,1760,1820
GEORGE IV,1820,1830
WILLIAM IV,1830,1837
VICTORIA,1837,1901
EDWARD VII,1901,1910
GEORGE V,1910,1936
EDWARD VIII,1936,1936
GEORGE VI,1936,1952
ELIZABETH II,1952,2018